Year,Public,Private
2025-26,"$10,340.00","$39,307.00"
2024-25,"$10,153.00","$37,937.00"
2023-24,"$9,961.00","$36,580.00"
2022-23,"$9,750.00","$35,248.00"
2021-22,"$9,596.00","$34,051.00"
2020-21,"$9,374.00","$32,728.00"
2019-20,"$9,349.00","$32,764.00"
2018-19,"$9,212.00","$31,883.00"
2017-18,"$9,036.00","$30,723.00"
2016-17,"$8,804.00","$29,476.00"
2015-16,"$8,778.00","$27,942.00"
2014-15,"$8,543.00","$26,739.00"
2013-14,"$8,312.00","$25,707.00"
2012-13,"$8,070.00","$24,523.00"
2011-12,"$7,713.00","$23,464.00"
2010-11,"$7,132.00","$22,677.00"
2009-10,"$6,717.00","$22,269.00"
2008-09,"$6,312.00","$22,040.00"
2007-08,"$5,943.00","$21,427.00"
2006-07,"$5,666.00","$20,517.00"
2005-06,"$5,351.00","$19,292.00"
2004-05,"$5,027.00","$18,604.00"
2003-04,"$4,587.00","$17,763.00"
2002-03,"$4,046.00","$16,826.00"
2001-02,"$3,735.00","$16,211.00"
2000-01,"$3,501.00","$15,470.00"
1999-2000,"$3,349.00","$14,616.00"
1998-99,"$3,229.00","$13,973.00"
1997-98,"$3,110.00","$13,344.00"
1996-97,"$2,987.00","$12,881.00"
1995-96,"$2,848.00","$12,243.00"
1994-95,"$2,681.00","$11,481.00"
1993-94,"$2,537.00","$10,952.00"
1992-93,"$2,349.00","$10,294.00"
1991-92,"$2,117.00","$9,759.00"
1990-91,"$1,888.00","$9,083.00"
1989-90,"$1,780.00","$8,396.00"
1988-89,"$1,646.00","$7,722.00"
1987-88,"$1,537.00","$7,116.00"
1986-87,"$1,414.00","$6,658.00"
1985-86,"$1,318.00","$6,121.00"
1984-85,"$1,228.00","$5,556.00"
1983-84,"$1,148.00","$5,093.00"
1982-83,"$1,031.00","$4,639.00"
1981-82,$909.00,"$4,113.00"
1980-81,$804.00,"$3,617.00"
1979-80,$738.00,"$3,225.00"
1978-79,$688.00,"$2,958.00"
1977-78,$655.00,"$2,700.00"
1976-77,$617.00,"$2,534.00"
1975-76,$542.00,"$2,291.00"
1974-75,$512.00,"$2,130.00"
1973-74,$514.00,"$2,045.00"
1972-73,$503.00,"$1,948.00"
1971-72,$428.00,"$1,832.00"
1970-71,$394.00,"$1,706.00"
1969-70,$358.00,"$1,562.00"
1968-69,$321.00,"$1,417.00"
1967-68,$310.00,"$1,317.00"
1966-67,$302.00,"$1,241.00"
1965-66,$278.00,"$1,162.00"
1964-65,$256.00,"$1,097.00"
1963-64,$243.00,"$1,011.00"
