Year,Total_Population,Labor_Force_Population,Labor_Force_Pct,Employed_Pct,Unemployed_Population,Unemployed_Pct,Other_Population
1955,"109,683","65,023",59.3,56.7,"2,852",4.4,"44,660"
1956,"110,954","66,552",60.0,57.5,"2,750",4.1,"44,402"
1957,"112,265","66,929",59.6,57.1,"2,859",4.3,"45,336"
1958,"113,727","67,639",59.5,55.4,"4,602",6.8,"46,088"
1959,"115,329","68,369",59.3,56.0,"3,740",5.5,"46,960"
1960,"117,245","69,628",59.4,56.1,"3,852",5.5,"47,617"
1961,"118,771","70,459",59.3,55.4,"4,714",6.7,"48,312"
1962,"120,153","70,614",58.8,55.5,"3,911",5.5,"49,539"
1963,"122,416","71,833",58.7,55.4,"4,070",5.7,"50,583"
1964,"124,485","73,091",58.7,55.7,"3,786",5.2,"51,394"
1965,"126,513","74,455",58.9,56.2,"3,366",4.5,"52,058"
1966,"128,058","75,770",59.2,56.9,"2,875",3.8,"52,288"
1967,"129,874","77,347",59.6,57.3,"2,975",3.8,"52,527"
1968,"132,028","78,737",59.6,57.5,"2,817",3.6,"53,291"
1969,"134,335","80,734",60.1,58.0,"2,832",3.5,"53,602"
1970,"137,085","82,771",60.4,57.4,"4,093",4.9,"54,315"
1971,"140,216","84,382",60.2,56.6,"5,016",5.9,"55,834"
1972,"144,126","87,034",60.4,57.0,"4,882",5.6,"57,091"
1973,"147,096","89,429",60.8,57.8,"4,365",4.9,"57,667"
1974,"150,120","91,949",61.3,57.8,"5,156",5.6,"58,171"
1975,"153,153","93,775",61.2,56.1,"7,929",8.5,"59,378"
1976,"156,150","96,158",61.6,56.8,"7,406",7.7,"59,991"
1977,"159,033","99,009",62.3,57.9,"6,991",7.1,"60,025"
1978,"161,910","102,251",63.2,59.3,"6,202",6.1,"59,659"
1979,"164,863","104,962",63.7,59.9,"6,137",5.8,"59,900"
1980,"167,745","106,940",63.8,59.2,"7,637",7.1,"60,806"
1981,"170,130","108,670",63.9,59.0,"8,273",7.6,"61,460"
1982,"172,271","110,204",64.0,57.8,"10,678",9.7,"62,067"
1983,"174,215","111,550",64.0,57.9,"10,717",9.6,"62,665"
1984,"176,383","113,544",64.4,59.5,"8,539",7.5,"62,839"
1985,"178,206","115,461",64.8,60.1,"8,312",7.2,"62,744"
1986,"180,587","117,834",65.3,60.7,"8,237",7.0,"62,752"
1987,"182,753","119,865",65.6,61.5,"7,425",6.2,"62,888"
1988,"184,613","121,669",65.9,62.3,"6,701",5.5,"62,944"
1989,"186,393","123,869",66.5,63.0,"6,528",5.3,"62,523"
1990,"189,164","125,840",66.5,62.8,"7,047",5.6,"63,324"
1991,"190,925","126,346",66.2,61.7,"8,628",6.8,"64,578"
1992,"192,805","128,105",66.4,61.5,"9,613",7.5,"64,700"
1993,"194,838","129,200",66.3,61.7,"8,940",6.9,"65,638"
1994,"196,814","131,056",66.6,62.5,"7,996",6.1,"65,758"
1995,"198,584","132,304",66.6,62.9,"7,404",5.6,"66,280"
1996,"200,591","133,943",66.8,63.2,"7,236",5.4,"66,647"
1997,"203,133","136,297",67.1,63.8,"6,739",4.9,"66,837"
1998,"205,220","137,673",67.1,64.1,"6,210",4.5,"67,547"
1999,"207,753","139,368",67.1,64.3,"5,880",4.2,"68,385"
2000,"212,577","142,583",67.1,64.4,"5,692",4.0,"69,994"
2001,"215,092","143,734",66.8,63.7,"6,801",4.7,"71,359"
2002,"217,570","144,863",66.6,62.7,"8,378",5.8,"72,707"
2003,"221,168","146,510",66.2,62.3,"8,774",6.0,"74,658"
2004,"223,357","147,401",66.0,62.3,"8,149",5.5,"75,956"
2005,"226,082","149,320",66.0,62.7,"7,591",5.1,"76,762"
2006,"228,815","151,428",66.2,63.1,"7,001",4.6,"77,387"
2007,"231,867","153,124",66.0,63.0,"7,078",4.6,"78,743"
2008,"233,788","154,287",66.0,62.2,"8,924",5.8,"79,501"
2009,"235,801","154,142",65.4,59.3,"14,265",9.3,"81,659"
2010,"237,830","153,889",64.7,58.5,"14,825",9.6,"83,941"
2011,"239,618","153,617",64.1,58.4,"13,747",8.9,"86,001"
2012,"243,284","154,975",63.7,58.6,"12,506",8.1,"88,310"
2013,"245,679","155,389",63.2,58.6,"11,460",7.4,"90,290"
2014,"247,947","155,922",62.9,59.0,"9,617",6.2,"92,025"
2015,"250,801","157,130",62.7,59.3,"8,296",5.3,"93,671"
2016,"253,538","159,187",62.8,59.7,"7,751",4.9,"94,351"
2017,"255,079","160,320",62.9,60.1,"6,982",4.4,"94,759"
2018,"257,791","162,075",62.9,60.4,"6,314",3.9,"95,716"
2019,"259,175","163,539",63.1,60.8,"6,001",3.7,"95,636"
2020,"260,329","160,742",61.7,56.8,"12,947",8.1,"99,587"
2021,"261,445","161,204",61.7,58.4,"8,623",5.3,"100,241"
2022,"263,973","164,287",62.2,60.0,"5,996",3.6,"99,686"
2023,"266,942","167,116",62.6,60.3,"6,080",3.6,"99,826"
2024,"268,571","168,106",62.6,60.1,"6,761",4.0,"100,465"
2025,"273,653","170,807",62.4,59.7,"7,314",4.3,"102,846"
