Date ,No High School,High School Degree,Some College,Bachelor's Degree,Advanced Degree
Jan-95,83.8%,56.0%,48.3%,35.2%,28.4%
Feb-95,83.0%,55.6%,47.6%,33.1%,28.0%
Mar-95,83.4%,56.0%,49.0%,33.2%,28.2%
Apr-95,83.9%,56.0%,48.4%,33.2%,27.9%
May-95,82.9%,55.3%,48.9%,33.3%,28.0%
Jun-95,84.2%,54.9%,49.3%,32.5%,28.3%
Jul-95,83.3%,55.4%,48.0%,33.2%,28.3%
Aug-95,84.3%,55.9%,48.8%,32.8%,28.4%
Sep-95,84.4%,55.2%,47.6%,34.3%,27.8%
Oct-95,82.9%,55.0%,49.1%,32.1%,28.0%
Nov-95,83.7%,55.0%,49.1%,33.7%,28.3%
Dec-95,83.4%,55.8%,48.5%,33.3%,28.0%
Jan-96,82.9%,55.9%,48.8%,34.0%,28.1%
Feb-96,84.1%,54.9%,49.4%,34.1%,28.3%
Mar-96,83.5%,55.5%,48.6%,33.5%,27.7%
Apr-96,83.3%,55.5%,48.6%,33.9%,28.1%
May-96,83.8%,55.6%,48.0%,33.2%,28.1%
Jun-96,83.5%,55.4%,47.5%,34.2%,27.6%
Jul-96,83.6%,54.9%,48.4%,33.7%,28.7%
Aug-96,83.7%,55.4%,48.6%,34.1%,28.0%
Sep-96,83.0%,55.6%,48.9%,33.8%,28.5%
Oct-96,83.7%,55.0%,48.8%,33.4%,28.3%
Nov-96,83.1%,54.9%,46.9%,34.0%,28.1%
Dec-96,82.8%,55.1%,48.2%,33.5%,27.9%
Jan-97,82.5%,54.8%,48.2%,32.6%,28.2%
Feb-97,83.3%,55.4%,47.3%,32.8%,28.5%
Mar-97,82.4%,54.6%,48.1%,32.6%,28.1%
Apr-97,82.3%,54.6%,48.1%,33.1%,28.5%
May-97,83.0%,54.3%,46.7%,33.6%,28.3%
Jun-97,82.1%,54.5%,47.7%,32.4%,28.7%
Jul-97,82.2%,54.5%,48.3%,32.7%,27.9%
Aug-97,81.6%,54.5%,46.4%,34.2%,28.2%
Sep-97,82.7%,53.9%,47.3%,31.5%,28.3%
Oct-97,82.1%,55.0%,48.1%,32.2%,28.0%
Nov-97,81.8%,54.7%,47.7%,31.7%,27.9%
