Year,Less than high school completion,High school completion1,"Some college, no bachelor's degree2",Bachelor's or higher degree
2013,15 (1.0),12 (0.6),8 (0.4),4 (0.3)
2014,14 (1.2),10 (0.7),8 (0.5),4 (0.3)
2015,12 (1.0),9 (0.5),6 (0.4),2 (0.2)
2016,13 (1.0),9 (0.5),6 (0.4),2 (0.2)
2017,13 (1.2),7 (0.4),4 (0.3),3 (0.2)
2018,9 (1.0),6 (0.4),5 (0.3),2 (0.2)
2019,10 (1.0),6 (0.4),5 (0.3),2 (0.2)
2020,9 (1.2),9 (0.6),6 (0.4),3 (0.3)
2021,11 (1.5),10 (0.6),9 (0.5),4 (0.3)
2022,10 (1.2),7 (0.5),5 (0.5),2 (0.2)
2023,9 (1.5),7 (0.5),4 (0.4),3 (0.3)
