Series ID,National average,Less than a high school diploma,High school graduate,Some college or associate degree,Bachelor's degree,Advanced degree
2000,609,362,505,596,827,1024
2001,630,382,520,617,858,1061
2002,646,388,535,629,877,1096
2003,662,396,554,639,900,1126
2004,683,401,574,661,916,1153
2005,696,409,583,670,937,1173
2006,718,419,595,692,962,1203
2007,738,428,604,704,987,1236
2008,761,453,618,722,1012,1287
2009,774,454,626,726,1025,1328
2010,782,444,626,734,1038,1351
2011,797,451,638,739,1053,1346
2012,815,471,652,749,1066,1373
2013,827,472,651,748,1108,1389
2014,839,488,668,761,1101,1386
2015,860,493,678,762,1137,1403
2016,885,504,692,779,1156,1444
2017,907,520,712,798,1173,1470
2018,932,553,730,826,1198,1521
2019,969,592,746,856,1248,1567
2020,1029,619,781,903,1305,1624
2021,1057,626,809,925,1334,1658
