Year,Less than high school completion,High school completion1,"Some college, no bachelor's degree2",Bachelor's or higher degree
2013,57 (1.0),68 (0.7),75 (0.6),84 (0.5)
2014,58 (1.4),68 (0.7),74 (0.7),84 (0.6)
2015,57 (1.1),70 (0.7),76 (0.6),85 (0.5)
2016,59 (1.3),70 (0.8),77 (0.7),86 (0.5)
2017,57 (1.4),72 (0.7),80 (0.5),86 (0.5)
2018,59 (1.5),72 (0.7),79 (0.6),86 (0.5)
2019,57 (1.4),74 (0.7),80 (0.6),87 (0.5)
2020,57 (1.7),69 (0.8),78 (0.7),86 (0.5)
2021,53 (1.7),68 (0.8),75 (0.7),86 (0.5)
2022,61 (1.6),73 (0.7),79 (0.7),87 (0.4)
2023,60 (1.8),74 (0.6),80 (0.7),88 (0.5)
